STATION,NAME,DATE,TAVG
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/1/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/2/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/3/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/4/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/5/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/6/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/7/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/8/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/9/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/10/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/11/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/12/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/13/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/14/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/15/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/16/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/17/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/18/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/19/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/20/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/21/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/22/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/23/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/24/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/25/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/26/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/27/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/28/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/29/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/30/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",1/31/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",2/1/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",2/2/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",2/3/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",2/4/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",2/5/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",2/6/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",2/7/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",2/8/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",2/9/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",2/10/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",2/11/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",2/12/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",2/13/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",2/14/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",2/15/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",2/16/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",2/17/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",2/18/2017,
DEE00124546,"KLIENER FELDBERG TAUNUS, DE",2/19/2017,
