STATION,NAME,DATE,TAVG
CNM00050953,"HARBIN, CN",1/1/2017,13
CNM00050953,"HARBIN, CN",1/2/2017,3
CNM00050953,"HARBIN, CN",1/3/2017,8
CNM00050953,"HARBIN, CN",1/4/2017,-2
CNM00050953,"HARBIN, CN",1/5/2017,0
CNM00050953,"HARBIN, CN",1/6/2017,6
CNM00050953,"HARBIN, CN",1/7/2017,2
CNM00050953,"HARBIN, CN",1/8/2017,7
CNM00050953,"HARBIN, CN",1/9/2017,2
CNM00050953,"HARBIN, CN",1/10/2017,-4
CNM00050953,"HARBIN, CN",1/11/2017,-7
CNM00050953,"HARBIN, CN",1/12/2017,-4
CNM00050953,"HARBIN, CN",1/13/2017,-1
CNM00050953,"HARBIN, CN",1/14/2017,4
CNM00050953,"HARBIN, CN",1/15/2017,1
CNM00050953,"HARBIN, CN",1/16/2017,1
CNM00050953,"HARBIN, CN",1/17/2017,4
CNM00050953,"HARBIN, CN",1/18/2017,4
CNM00050953,"HARBIN, CN",1/19/2017,-2
CNM00050953,"HARBIN, CN",1/20/2017,-4
CNM00050953,"HARBIN, CN",1/21/2017,0
CNM00050953,"HARBIN, CN",1/22/2017,-6
CNM00050953,"HARBIN, CN",1/23/2017,-5
CNM00050953,"HARBIN, CN",1/24/2017,1
CNM00050953,"HARBIN, CN",1/25/2017,15
CNM00050953,"HARBIN, CN",1/26/2017,16
CNM00050953,"HARBIN, CN",1/27/2017,8
CNM00050953,"HARBIN, CN",1/28/2017,1
CNM00050953,"HARBIN, CN",1/29/2017,-2
CNM00050953,"HARBIN, CN",1/30/2017,4
CNM00050953,"HARBIN, CN",1/31/2017,6
CNM00050953,"HARBIN, CN",2/1/2017,9
CNM00050953,"HARBIN, CN",2/2/2017,11
CNM00050953,"HARBIN, CN",2/3/2017,11
CNM00050953,"HARBIN, CN",2/4/2017,11
CNM00050953,"HARBIN, CN",2/5/2017,7
CNM00050953,"HARBIN, CN",2/6/2017,4
CNM00050953,"HARBIN, CN",2/7/2017,6
CNM00050953,"HARBIN, CN",2/8/2017,6
CNM00050953,"HARBIN, CN",2/9/2017,7
CNM00050953,"HARBIN, CN",2/10/2017,11
CNM00050953,"HARBIN, CN",2/11/2017,11
CNM00050953,"HARBIN, CN",2/12/2017,10
CNM00050953,"HARBIN, CN",2/13/2017,5
CNM00050953,"HARBIN, CN",2/14/2017,16
CNM00050953,"HARBIN, CN",2/15/2017,29
CNM00050953,"HARBIN, CN",2/16/2017,15
CNM00050953,"HARBIN, CN",2/17/2017,4
CNM00050953,"HARBIN, CN",2/18/2017,-1
CNM00050953,"HARBIN, CN",2/19/2017,6
CNM00050953,"HARBIN, CN",2/20/2017,7
CNM00050953,"HARBIN, CN",2/21/2017,19
CNM00050953,"HARBIN, CN",2/22/2017,17
CNM00050953,"HARBIN, CN",2/23/2017,12
CNM00050953,"HARBIN, CN",2/24/2017,17
CNM00050953,"HARBIN, CN",2/25/2017,12
CNM00050953,"HARBIN, CN",2/26/2017,21
CNM00050953,"HARBIN, CN",2/27/2017,36
CNM00050953,"HARBIN, CN",2/28/2017,29
CNM00050953,"HARBIN, CN",3/1/2017,14
CNM00050953,"HARBIN, CN",3/2/2017,11
CNM00050953,"HARBIN, CN",3/3/2017,12
CNM00050953,"HARBIN, CN",3/4/2017,6
CNM00050953,"HARBIN, CN",3/5/2017,12
CNM00050953,"HARBIN, CN",3/6/2017,16
CNM00050953,"HARBIN, CN",3/7/2017,23
CNM00050953,"HARBIN, CN",3/8/2017,26
CNM00050953,"HARBIN, CN",3/9/2017,27
CNM00050953,"HARBIN, CN",3/10/2017,30
CNM00050953,"HARBIN, CN",3/11/2017,37
CNM00050953,"HARBIN, CN",3/12/2017,31
CNM00050953,"HARBIN, CN",3/13/2017,28
CNM00050953,"HARBIN, CN",3/14/2017,27
CNM00050953,"HARBIN, CN",3/15/2017,38
CNM00050953,"HARBIN, CN",3/16/2017,35
CNM00050953,"HARBIN, CN",3/17/2017,35
CNM00050953,"HARBIN, CN",3/18/2017,36
CNM00050953,"HARBIN, CN",3/19/2017,35
CNM00050953,"HARBIN, CN",3/20/2017,32
CNM00050953,"HARBIN, CN",3/21/2017,34
CNM00050953,"HARBIN, CN",3/22/2017,31
CNM00050953,"HARBIN, CN",3/23/2017,31
CNM00050953,"HARBIN, CN",3/24/2017,38
CNM00050953,"HARBIN, CN",3/25/2017,37
CNM00050953,"HARBIN, CN",3/26/2017,35
CNM00050953,"HARBIN, CN",3/27/2017,35
CNM00050953,"HARBIN, CN",3/28/2017,40
CNM00050953,"HARBIN, CN",3/29/2017,36
CNM00050953,"HARBIN, CN",3/30/2017,38
CNM00050953,"HARBIN, CN",3/31/2017,35
CNM00050953,"HARBIN, CN",4/1/2017,42
CNM00050953,"HARBIN, CN",4/2/2017,45
CNM00050953,"HARBIN, CN",4/3/2017,55
CNM00050953,"HARBIN, CN",4/4/2017,63
CNM00050953,"HARBIN, CN",4/5/2017,60
CNM00050953,"HARBIN, CN",4/6/2017,41
CNM00050953,"HARBIN, CN",4/7/2017,42
CNM00050953,"HARBIN, CN",4/8/2017,40
CNM00050953,"HARBIN, CN",4/9/2017,50
CNM00050953,"HARBIN, CN",4/10/2017,54
CNM00050953,"HARBIN, CN",4/11/2017,36
CNM00050953,"HARBIN, CN",4/12/2017,34
CNM00050953,"HARBIN, CN",4/13/2017,56
CNM00050953,"HARBIN, CN",4/14/2017,59
CNM00050953,"HARBIN, CN",4/15/2017,53
CNM00050953,"HARBIN, CN",4/16/2017,48
CNM00050953,"HARBIN, CN",4/17/2017,45
CNM00050953,"HARBIN, CN",4/18/2017,41
CNM00050953,"HARBIN, CN",4/19/2017,45
CNM00050953,"HARBIN, CN",4/20/2017,44
CNM00050953,"HARBIN, CN",4/21/2017,50
CNM00050953,"HARBIN, CN",4/22/2017,58
CNM00050953,"HARBIN, CN",4/23/2017,49
CNM00050953,"HARBIN, CN",4/24/2017,42
CNM00050953,"HARBIN, CN",4/25/2017,43
CNM00050953,"HARBIN, CN",4/26/2017,46
CNM00050953,"HARBIN, CN",4/27/2017,51
CNM00050953,"HARBIN, CN",4/28/2017,57
CNM00050953,"HARBIN, CN",4/29/2017,58
CNM00050953,"HARBIN, CN",4/30/2017,52
CNM00050953,"HARBIN, CN",5/1/2017,67
CNM00050953,"HARBIN, CN",5/2/2017,76
CNM00050953,"HARBIN, CN",5/3/2017,75
CNM00050953,"HARBIN, CN",5/4/2017,59
CNM00050953,"HARBIN, CN",5/5/2017,51
CNM00050953,"HARBIN, CN",5/6/2017,41
CNM00050953,"HARBIN, CN",5/7/2017,48
CNM00050953,"HARBIN, CN",5/8/2017,61
CNM00050953,"HARBIN, CN",5/9/2017,73
CNM00050953,"HARBIN, CN",5/10/2017,69
CNM00050953,"HARBIN, CN",5/11/2017,65
CNM00050953,"HARBIN, CN",5/12/2017,55
CNM00050953,"HARBIN, CN",5/13/2017,53
CNM00050953,"HARBIN, CN",5/14/2017,55
CNM00050953,"HARBIN, CN",5/15/2017,61
CNM00050953,"HARBIN, CN",5/16/2017,69
CNM00050953,"HARBIN, CN",5/17/2017,74
CNM00050953,"HARBIN, CN",5/18/2017,80
CNM00050953,"HARBIN, CN",5/19/2017,68
CNM00050953,"HARBIN, CN",5/20/2017,63
CNM00050953,"HARBIN, CN",5/21/2017,54
CNM00050953,"HARBIN, CN",5/22/2017,49
CNM00050953,"HARBIN, CN",5/23/2017,57
CNM00050953,"HARBIN, CN",5/24/2017,54
CNM00050953,"HARBIN, CN",5/25/2017,58
CNM00050953,"HARBIN, CN",5/26/2017,62
CNM00050953,"HARBIN, CN",5/27/2017,69
CNM00050953,"HARBIN, CN",5/28/2017,65
CNM00050953,"HARBIN, CN",5/29/2017,67
CNM00050953,"HARBIN, CN",5/30/2017,61
CNM00050953,"HARBIN, CN",5/31/2017,60
CNM00050953,"HARBIN, CN",6/1/2017,54
CNM00050953,"HARBIN, CN",6/2/2017,54
CNM00050953,"HARBIN, CN",6/3/2017,55
CNM00050953,"HARBIN, CN",6/4/2017,59
CNM00050953,"HARBIN, CN",6/5/2017,73
CNM00050953,"HARBIN, CN",6/6/2017,67
CNM00050953,"HARBIN, CN",6/7/2017,62
CNM00050953,"HARBIN, CN",6/8/2017,63
CNM00050953,"HARBIN, CN",6/9/2017,53
CNM00050953,"HARBIN, CN",6/10/2017,57
CNM00050953,"HARBIN, CN",6/11/2017,62
CNM00050953,"HARBIN, CN",6/12/2017,67
CNM00050953,"HARBIN, CN",6/13/2017,77
CNM00050953,"HARBIN, CN",6/14/2017,73
CNM00050953,"HARBIN, CN",6/15/2017,70
CNM00050953,"HARBIN, CN",6/16/2017,74
CNM00050953,"HARBIN, CN",6/17/2017,73
CNM00050953,"HARBIN, CN",6/18/2017,71
CNM00050953,"HARBIN, CN",6/19/2017,69
CNM00050953,"HARBIN, CN",6/20/2017,64
CNM00050953,"HARBIN, CN",6/21/2017,64
CNM00050953,"HARBIN, CN",6/22/2017,71
CNM00050953,"HARBIN, CN",6/23/2017,77
CNM00050953,"HARBIN, CN",6/24/2017,78
CNM00050953,"HARBIN, CN",6/25/2017,70
CNM00050953,"HARBIN, CN",6/26/2017,77
CNM00050953,"HARBIN, CN",6/27/2017,81
