STATION,NAME,DATE,TAVG
AUN00086369,"SPRINGVALE SANDOWN, AU",1/1/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/2/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/3/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/4/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/5/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/6/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/7/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/8/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/9/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/10/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/11/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/12/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/13/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/14/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/15/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/16/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/17/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/18/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/19/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/20/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/21/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/22/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/23/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/24/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/25/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/26/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/27/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/28/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/29/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/30/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",1/31/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/1/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/2/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/3/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/4/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/5/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/6/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/7/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/8/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/9/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/10/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/11/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/12/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/13/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/14/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/15/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/16/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/17/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/18/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/19/2017,
AUN00086369,"SPRINGVALE SANDOWN, AU",2/20/2017,
