STATION,NAME,DATE,TAVG
SEE00138838,"MARIEFRED, SE",1/1/2017,
SEE00138838,"MARIEFRED, SE",1/2/2017,
SEE00138838,"MARIEFRED, SE",1/3/2017,
SEE00138838,"MARIEFRED, SE",1/4/2017,
SEE00138838,"MARIEFRED, SE",1/5/2017,
SEE00138838,"MARIEFRED, SE",1/6/2017,
SEE00138838,"MARIEFRED, SE",1/7/2017,
SEE00138838,"MARIEFRED, SE",1/8/2017,
SEE00138838,"MARIEFRED, SE",1/9/2017,
SEE00138838,"MARIEFRED, SE",1/10/2017,
SEE00138838,"MARIEFRED, SE",1/11/2017,
SEE00138838,"MARIEFRED, SE",1/12/2017,
SEE00138838,"MARIEFRED, SE",1/13/2017,
SEE00138838,"MARIEFRED, SE",1/14/2017,
SEE00138838,"MARIEFRED, SE",1/15/2017,
SEE00138838,"MARIEFRED, SE",1/16/2017,
SEE00138838,"MARIEFRED, SE",1/17/2017,
SEE00138838,"MARIEFRED, SE",1/18/2017,
SEE00138838,"MARIEFRED, SE",1/19/2017,
SEE00138838,"MARIEFRED, SE",1/20/2017,
SEE00138838,"MARIEFRED, SE",1/21/2017,
SEE00138838,"MARIEFRED, SE",1/22/2017,
SEE00138838,"MARIEFRED, SE",1/23/2017,
SEE00138838,"MARIEFRED, SE",1/24/2017,
SEE00138838,"MARIEFRED, SE",1/25/2017,
SEE00138838,"MARIEFRED, SE",1/26/2017,
SEE00138838,"MARIEFRED, SE",1/27/2017,
SEE00138838,"MARIEFRED, SE",1/28/2017,
SEE00138838,"MARIEFRED, SE",1/29/2017,
SEE00138838,"MARIEFRED, SE",1/30/2017,
SEE00138838,"MARIEFRED, SE",1/31/2017,
SEE00138838,"MARIEFRED, SE",2/1/2017,
SEE00138838,"MARIEFRED, SE",2/2/2017,
SEE00138838,"MARIEFRED, SE",2/3/2017,
SEE00138838,"MARIEFRED, SE",2/4/2017,
SEE00138838,"MARIEFRED, SE",2/5/2017,
SEE00138838,"MARIEFRED, SE",2/6/2017,
SEE00138838,"MARIEFRED, SE",2/7/2017,
SEE00138838,"MARIEFRED, SE",2/8/2017,
SEE00138838,"MARIEFRED, SE",2/9/2017,
SEE00138838,"MARIEFRED, SE",2/10/2017,
SEE00138838,"MARIEFRED, SE",2/11/2017,
SEE00138838,"MARIEFRED, SE",2/12/2017,
SEE00138838,"MARIEFRED, SE",2/13/2017,
SEE00138838,"MARIEFRED, SE",2/14/2017,
SEE00138838,"MARIEFRED, SE",2/15/2017,
SEE00138838,"MARIEFRED, SE",2/16/2017,
SEE00138838,"MARIEFRED, SE",2/17/2017,
SEE00138838,"MARIEFRED, SE",2/18/2017,
SEE00138838,"MARIEFRED, SE",2/19/2017,
SEE00138838,"MARIEFRED, SE",2/20/2017,
SEE00138838,"MARIEFRED, SE",2/21/2017,
SEE00138838,"MARIEFRED, SE",2/22/2017,
SEE00138838,"MARIEFRED, SE",2/23/2017,
SEE00138838,"MARIEFRED, SE",2/24/2017,
SEE00138838,"MARIEFRED, SE",2/25/2017,
SEE00138838,"MARIEFRED, SE",2/26/2017,
SEE00138838,"MARIEFRED, SE",2/27/2017,
SEE00138838,"MARIEFRED, SE",2/28/2017,
SEE00138838,"MARIEFRED, SE",3/1/2017,
SEE00138838,"MARIEFRED, SE",3/2/2017,
SEE00138838,"MARIEFRED, SE",3/3/2017,
SEE00138838,"MARIEFRED, SE",3/4/2017,
SEE00138838,"MARIEFRED, SE",3/5/2017,
SEE00138838,"MARIEFRED, SE",3/6/2017,
SEE00138838,"MARIEFRED, SE",3/7/2017,
SEE00138838,"MARIEFRED, SE",3/8/2017,
SEE00138838,"MARIEFRED, SE",3/9/2017,
SEE00138838,"MARIEFRED, SE",3/10/2017,
SEE00138838,"MARIEFRED, SE",3/11/2017,
SEE00138838,"MARIEFRED, SE",3/12/2017,
SEE00138838,"MARIEFRED, SE",3/13/2017,
SEE00138838,"MARIEFRED, SE",3/14/2017,
SEE00138838,"MARIEFRED, SE",3/15/2017,
SEE00138838,"MARIEFRED, SE",3/16/2017,
SEE00138838,"MARIEFRED, SE",3/17/2017,
SEE00138838,"MARIEFRED, SE",3/18/2017,
SEE00138838,"MARIEFRED, SE",3/19/2017,
SEE00138838,"MARIEFRED, SE",3/20/2017,
SEE00138838,"MARIEFRED, SE",3/21/2017,
SEE00138838,"MARIEFRED, SE",3/22/2017,
