STATION,NAME,DATE,TAVG
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/17/2017,82
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/18/2017,77
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/19/2017,72
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/20/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/21/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/22/2017,75
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/23/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/24/2017,76
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/25/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/26/2017,77
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/27/2017,77
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/28/2017,75
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/29/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/30/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/31/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/1/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/2/2017,72
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/3/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/4/2017,76
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/5/2017,79
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/6/2017,81
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/7/2017,79
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/8/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/9/2017,79
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/10/2017,79
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/11/2017,79
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",4/12/2017,77
