STATION,NAME,DATE,TAVG
RUM00027612,"MOSCOW, RU",1/1/2017,35
RUM00027612,"MOSCOW, RU",1/2/2017,33
RUM00027612,"MOSCOW, RU",1/3/2017,20
RUM00027612,"MOSCOW, RU",1/4/2017,14
RUM00027612,"MOSCOW, RU",1/5/2017,9
RUM00027612,"MOSCOW, RU",1/6/2017,-14
RUM00027612,"MOSCOW, RU",1/7/2017,-17
RUM00027612,"MOSCOW, RU",1/8/2017,-13
RUM00027612,"MOSCOW, RU",1/9/2017,-4
RUM00027612,"MOSCOW, RU",1/10/2017,16
RUM00027612,"MOSCOW, RU",1/11/2017,15
RUM00027612,"MOSCOW, RU",1/12/2017,17
RUM00027612,"MOSCOW, RU",1/13/2017,25
RUM00027612,"MOSCOW, RU",1/14/2017,27
RUM00027612,"MOSCOW, RU",1/15/2017,30
RUM00027612,"MOSCOW, RU",1/16/2017,30
RUM00027612,"MOSCOW, RU",1/17/2017,25
RUM00027612,"MOSCOW, RU",1/18/2017,23
RUM00027612,"MOSCOW, RU",1/19/2017,25
RUM00027612,"MOSCOW, RU",1/20/2017,28
RUM00027612,"MOSCOW, RU",1/21/2017,26
RUM00027612,"MOSCOW, RU",1/22/2017,25
RUM00027612,"MOSCOW, RU",1/23/2017,32
RUM00027612,"MOSCOW, RU",1/24/2017,30
RUM00027612,"MOSCOW, RU",1/25/2017,11
RUM00027612,"MOSCOW, RU",1/26/2017,5
RUM00027612,"MOSCOW, RU",1/27/2017,24
RUM00027612,"MOSCOW, RU",1/28/2017,28
RUM00027612,"MOSCOW, RU",1/29/2017,20
RUM00027612,"MOSCOW, RU",1/30/2017,15
RUM00027612,"MOSCOW, RU",1/31/2017,16
RUM00027612,"MOSCOW, RU",2/1/2017,26
RUM00027612,"MOSCOW, RU",2/2/2017,16
RUM00027612,"MOSCOW, RU",2/3/2017,17
RUM00027612,"MOSCOW, RU",2/4/2017,13
RUM00027612,"MOSCOW, RU",2/5/2017,15
RUM00027612,"MOSCOW, RU",2/6/2017,4
RUM00027612,"MOSCOW, RU",2/7/2017,-4
RUM00027612,"MOSCOW, RU",2/8/2017,4
RUM00027612,"MOSCOW, RU",2/9/2017,19
RUM00027612,"MOSCOW, RU",2/10/2017,27
RUM00027612,"MOSCOW, RU",2/11/2017,30
RUM00027612,"MOSCOW, RU",2/12/2017,24
RUM00027612,"MOSCOW, RU",2/13/2017,19
RUM00027612,"MOSCOW, RU",2/14/2017,31
RUM00027612,"MOSCOW, RU",2/15/2017,27
RUM00027612,"MOSCOW, RU",2/16/2017,21
RUM00027612,"MOSCOW, RU",2/17/2017,26
RUM00027612,"MOSCOW, RU",2/18/2017,34
RUM00027612,"MOSCOW, RU",2/19/2017,34
RUM00027612,"MOSCOW, RU",2/20/2017,36
RUM00027612,"MOSCOW, RU",2/21/2017,34
RUM00027612,"MOSCOW, RU",2/22/2017,25
RUM00027612,"MOSCOW, RU",2/23/2017,27
RUM00027612,"MOSCOW, RU",2/24/2017,35
RUM00027612,"MOSCOW, RU",2/25/2017,29
RUM00027612,"MOSCOW, RU",2/26/2017,27
RUM00027612,"MOSCOW, RU",2/27/2017,34
RUM00027612,"MOSCOW, RU",2/28/2017,35
RUM00027612,"MOSCOW, RU",3/1/2017,39
RUM00027612,"MOSCOW, RU",3/2/2017,38
RUM00027612,"MOSCOW, RU",3/3/2017,37
RUM00027612,"MOSCOW, RU",3/4/2017,37
RUM00027612,"MOSCOW, RU",3/5/2017,38
RUM00027612,"MOSCOW, RU",3/6/2017,31
RUM00027612,"MOSCOW, RU",3/7/2017,32
RUM00027612,"MOSCOW, RU",3/8/2017,34
RUM00027612,"MOSCOW, RU",3/9/2017,41
RUM00027612,"MOSCOW, RU",3/10/2017,39
RUM00027612,"MOSCOW, RU",3/11/2017,39
RUM00027612,"MOSCOW, RU",3/12/2017,37
RUM00027612,"MOSCOW, RU",3/13/2017,35
RUM00027612,"MOSCOW, RU",3/14/2017,37
RUM00027612,"MOSCOW, RU",3/15/2017,40
RUM00027612,"MOSCOW, RU",3/16/2017,36
RUM00027612,"MOSCOW, RU",3/17/2017,37
RUM00027612,"MOSCOW, RU",3/18/2017,38
RUM00027612,"MOSCOW, RU",3/19/2017,37
RUM00027612,"MOSCOW, RU",3/20/2017,37
RUM00027612,"MOSCOW, RU",3/21/2017,39
RUM00027612,"MOSCOW, RU",3/22/2017,44
RUM00027612,"MOSCOW, RU",3/23/2017,41
RUM00027612,"MOSCOW, RU",3/24/2017,38
RUM00027612,"MOSCOW, RU",3/25/2017,33
RUM00027612,"MOSCOW, RU",3/26/2017,35
RUM00027612,"MOSCOW, RU",3/27/2017,35
RUM00027612,"MOSCOW, RU",3/28/2017,33
RUM00027612,"MOSCOW, RU",3/29/2017,30
RUM00027612,"MOSCOW, RU",3/30/2017,27
RUM00027612,"MOSCOW, RU",3/31/2017,30
RUM00027612,"MOSCOW, RU",4/1/2017,31
RUM00027612,"MOSCOW, RU",4/2/2017,
RUM00027612,"MOSCOW, RU",4/3/2017,
RUM00027612,"MOSCOW, RU",4/4/2017,
RUM00027612,"MOSCOW, RU",4/5/2017,
RUM00027612,"MOSCOW, RU",4/6/2017,
RUM00027612,"MOSCOW, RU",4/7/2017,
RUM00027612,"MOSCOW, RU",4/8/2017,
RUM00027612,"MOSCOW, RU",4/9/2017,
RUM00027612,"MOSCOW, RU",4/10/2017,
RUM00027612,"MOSCOW, RU",4/11/2017,
RUM00027612,"MOSCOW, RU",4/12/2017,
RUM00027612,"MOSCOW, RU",4/13/2017,
RUM00027612,"MOSCOW, RU",4/14/2017,40
RUM00027612,"MOSCOW, RU",4/15/2017,
RUM00027612,"MOSCOW, RU",4/16/2017,
RUM00027612,"MOSCOW, RU",4/17/2017,
RUM00027612,"MOSCOW, RU",4/18/2017,
RUM00027612,"MOSCOW, RU",4/19/2017,
RUM00027612,"MOSCOW, RU",4/20/2017,
RUM00027612,"MOSCOW, RU",4/21/2017,
RUM00027612,"MOSCOW, RU",4/22/2017,
RUM00027612,"MOSCOW, RU",4/23/2017,
RUM00027612,"MOSCOW, RU",4/24/2017,
RUM00027612,"MOSCOW, RU",4/25/2017,
RUM00027612,"MOSCOW, RU",4/26/2017,
RUM00027612,"MOSCOW, RU",4/27/2017,
RUM00027612,"MOSCOW, RU",4/28/2017,
RUM00027612,"MOSCOW, RU",4/29/2017,
RUM00027612,"MOSCOW, RU",4/30/2017,
RUM00027612,"MOSCOW, RU",5/1/2017,
RUM00027612,"MOSCOW, RU",5/2/2017,
RUM00027612,"MOSCOW, RU",5/3/2017,
RUM00027612,"MOSCOW, RU",5/4/2017,
RUM00027612,"MOSCOW, RU",5/5/2017,
RUM00027612,"MOSCOW, RU",5/6/2017,
RUM00027612,"MOSCOW, RU",5/7/2017,
RUM00027612,"MOSCOW, RU",5/8/2017,
RUM00027612,"MOSCOW, RU",5/9/2017,
RUM00027612,"MOSCOW, RU",5/10/2017,
RUM00027612,"MOSCOW, RU",5/11/2017,
RUM00027612,"MOSCOW, RU",5/12/2017,
RUM00027612,"MOSCOW, RU",5/13/2017,
RUM00027612,"MOSCOW, RU",5/14/2017,
RUM00027612,"MOSCOW, RU",5/15/2017,
RUM00027612,"MOSCOW, RU",5/16/2017,
RUM00027612,"MOSCOW, RU",5/17/2017,
RUM00027612,"MOSCOW, RU",5/18/2017,
RUM00027612,"MOSCOW, RU",5/19/2017,
RUM00027612,"MOSCOW, RU",5/20/2017,
RUM00027612,"MOSCOW, RU",5/21/2017,
RUM00027612,"MOSCOW, RU",5/22/2017,
RUM00027612,"MOSCOW, RU",5/23/2017,
