"STATION","NAME","DATE","TMAX","TMIN"
"NOE00134634","LEINSTRAND, NO","2017-04-20",,
"NOE00134634","LEINSTRAND, NO","2017-04-21",,
"NOE00134634","LEINSTRAND, NO","2017-04-22",,
"NOE00134634","LEINSTRAND, NO","2017-04-23",,
"NOE00134634","LEINSTRAND, NO","2017-04-24",,
"NOE00134634","LEINSTRAND, NO","2017-04-25",,
"NOE00134634","LEINSTRAND, NO","2017-04-26",,
"NOE00134634","LEINSTRAND, NO","2017-04-27",,
"NOE00134634","LEINSTRAND, NO","2017-04-28",,
"NOE00134634","LEINSTRAND, NO","2017-04-29",,
"NOE00134634","LEINSTRAND, NO","2017-04-30",,
"NOE00134634","LEINSTRAND, NO","2017-05-01",,
"NOE00134634","LEINSTRAND, NO","2017-05-02",,
"NOE00134634","LEINSTRAND, NO","2017-05-03",,
"NOE00134634","LEINSTRAND, NO","2017-05-04",,
"NOE00134634","LEINSTRAND, NO","2017-05-05",,
"NOE00134634","LEINSTRAND, NO","2017-05-06",,
"NOE00134634","LEINSTRAND, NO","2017-05-07",,
"NOE00134634","LEINSTRAND, NO","2017-05-08",,
"NOE00134634","LEINSTRAND, NO","2017-05-09",,
"NOE00134634","LEINSTRAND, NO","2017-05-10",,
"NOE00134634","LEINSTRAND, NO","2017-05-11",,
"NOE00134634","LEINSTRAND, NO","2017-05-12",,
"NOE00134634","LEINSTRAND, NO","2017-05-13",,
"NOE00134634","LEINSTRAND, NO","2017-05-14",,
"NOE00134634","LEINSTRAND, NO","2017-05-15",,
"NOE00134634","LEINSTRAND, NO","2017-05-16",,
"NOE00134634","LEINSTRAND, NO","2017-05-17",,
"NOE00134634","LEINSTRAND, NO","2017-05-18",,
"NOE00134634","LEINSTRAND, NO","2017-05-19",,
"NOE00134634","LEINSTRAND, NO","2017-05-20",,
"NOE00134634","LEINSTRAND, NO","2017-05-21",,
"NOE00134634","LEINSTRAND, NO","2017-05-22",,
"NOE00134634","LEINSTRAND, NO","2017-05-23",,
"NOE00134634","LEINSTRAND, NO","2017-05-24",,
"NOE00134634","LEINSTRAND, NO","2017-05-25",,
"NOE00134634","LEINSTRAND, NO","2017-05-26",,
"NOE00134634","LEINSTRAND, NO","2017-05-27",,
"NOE00134634","LEINSTRAND, NO","2017-05-28",,
"NOE00134634","LEINSTRAND, NO","2017-05-29",,
"NOE00134634","LEINSTRAND, NO","2017-05-30",,
"NOE00134634","LEINSTRAND, NO","2017-05-31",,
"NOE00134634","LEINSTRAND, NO","2017-06-01",,
"NOE00134634","LEINSTRAND, NO","2017-06-02",,
"NOE00134634","LEINSTRAND, NO","2017-06-03",,
"NOE00134634","LEINSTRAND, NO","2017-06-04",,
"NOE00134634","LEINSTRAND, NO","2017-06-05",,
"NOE00134634","LEINSTRAND, NO","2017-06-06",,
"NOE00134634","LEINSTRAND, NO","2017-06-07",,
"NOE00134634","LEINSTRAND, NO","2017-06-08",,
