Name,Station,Time(norwegian mean time),Mean air temperature (24 h)
"Oslo - Blindern, NO",SN18700,13.04.1980,3.6
"Oslo - Blindern, NO",SN18700,14.04.1980,5.3
"Oslo - Blindern, NO",SN18700,15.04.1980,7.3
"Oslo - Blindern, NO",SN18700,16.04.1980,7
"Oslo - Blindern, NO",SN18700,17.04.1980,7
"Oslo - Blindern, NO",SN18700,18.04.1980,5.8
"Oslo - Blindern, NO",SN18700,19.04.1980,1.1
"Oslo - Blindern, NO",SN18700,20.04.1980,4.8
"Oslo - Blindern, NO",SN18700,21.04.1980,7.5
"Oslo - Blindern, NO",SN18700,22.04.1980,7.5
"Oslo - Blindern, NO",SN18700,23.04.1980,7
"Oslo - Blindern, NO",SN18700,24.04.1980,6.5
"Oslo - Blindern, NO",SN18700,25.04.1980,8.4
"Oslo - Blindern, NO",SN18700,26.04.1980,6.4
"Oslo - Blindern, NO",SN18700,27.04.1980,7.8
"Oslo - Blindern, NO",SN18700,28.04.1980,7.8
"Oslo - Blindern, NO",SN18700,29.04.1980,12
"Oslo - Blindern, NO",SN18700,30.04.1980,12.2
"Oslo - Blindern, NO",SN18700,01.05.1980,11.5
"Oslo - Blindern, NO",SN18700,02.05.1980,10.8
"Oslo - Blindern, NO",SN18700,03.05.1980,13.1
"Oslo - Blindern, NO",SN18700,04.05.1980,11.8
"Oslo - Blindern, NO",SN18700,05.05.1980,12.8
"Oslo - Blindern, NO",SN18700,06.05.1980,12.5
"Oslo - Blindern, NO",SN18700,07.05.1980,10.9
"Oslo - Blindern, NO",SN18700,08.05.1980,7
"Oslo - Blindern, NO",SN18700,09.05.1980,6.5
"Oslo - Blindern, NO",SN18700,10.05.1980,8.7
"Oslo - Blindern, NO",SN18700,11.05.1980,7.9
"Oslo - Blindern, NO",SN18700,12.05.1980,10.7
"Oslo - Blindern, NO",SN18700,13.05.1980,11.5
"Oslo - Blindern, NO",SN18700,14.05.1980,14.5
"Oslo - Blindern, NO",SN18700,15.05.1980,17.7
"Oslo - Blindern, NO",SN18700,16.05.1980,19.1
"Oslo - Blindern, NO",SN18700,17.05.1980,20.5
"Oslo - Blindern, NO",SN18700,18.05.1980,19
"Oslo - Blindern, NO",SN18700,19.05.1980,14.8
"Oslo - Blindern, NO",SN18700,20.05.1980,8.5
"Oslo - Blindern, NO",SN18700,21.05.1980,7.6
"Oslo - Blindern, NO",SN18700,22.05.1980,10.1
"Oslo - Blindern, NO",SN18700,23.05.1980,11.9
"Oslo - Blindern, NO",SN18700,24.05.1980,11.8
"Oslo - Blindern, NO",SN18700,25.05.1980,11.1
"Oslo - Blindern, NO",SN18700,26.05.1980,7.7
"Oslo - Blindern, NO",SN18700,27.05.1980,12
"Oslo - Blindern, NO",SN18700,28.05.1980,9.6
"Oslo - Blindern, NO",SN18700,29.05.1980,11.2
"Oslo - Blindern, NO",SN18700,30.05.1980,12.4
"Oslo - Blindern, NO",SN18700,31.05.1980,13
"Oslo - Blindern, NO",SN18700,01.06.1980,13.6
"Oslo - Blindern, NO",SN18700,02.06.1980,14.5
"Oslo - Blindern, NO",SN18700,03.06.1980,17.3
"Oslo - Blindern, NO",SN18700,04.06.1980,19.6
"Oslo - Blindern, NO",SN18700,05.06.1980,21.1
"Oslo - Blindern, NO",SN18700,06.06.1980,22.1
"Oslo - Blindern, NO",SN18700,07.06.1980,20.6
"Oslo - Blindern, NO",SN18700,08.06.1980,19.3
"Oslo - Blindern, NO",SN18700,09.06.1980,17.5
"Oslo - Blindern, NO",SN18700,10.06.1980,20.5
"Oslo - Blindern, NO",SN18700,11.06.1980,19.6
"Oslo - Blindern, NO",SN18700,12.06.1980,12.3
"Oslo - Blindern, NO",SN18700,13.06.1980,13.3
"Oslo - Blindern, NO",SN18700,14.06.1980,16.4
"Oslo - Blindern, NO",SN18700,15.06.1980,19.4
"Oslo - Blindern, NO",SN18700,16.06.1980,18.2
"Oslo - Blindern, NO",SN18700,17.06.1980,16.1
"Oslo - Blindern, NO",SN18700,18.06.1980,16.1
"Oslo - Blindern, NO",SN18700,19.06.1980,14.1
"Oslo - Blindern, NO",SN18700,20.06.1980,14
"Oslo - Blindern, NO",SN18700,21.06.1980,12.8
"Oslo - Blindern, NO",SN18700,22.06.1980,12.3
"Oslo - Blindern, NO",SN18700,23.06.1980,13.4
"Oslo - Blindern, NO",SN18700,24.06.1980,13.5
"Oslo - Blindern, NO",SN18700,25.06.1980,13.3
"Oslo - Blindern, NO",SN18700,26.06.1980,12.7
"Oslo - Blindern, NO",SN18700,27.06.1980,12.7
"Oslo - Blindern, NO",SN18700,28.06.1980,13.7
"Oslo - Blindern, NO",SN18700,29.06.1980,12.3
"Oslo - Blindern, NO",SN18700,30.06.1980,14.7
"Oslo - Blindern, NO",SN18700,01.07.1980,17.2
"Oslo - Blindern, NO",SN18700,02.07.1980,16.7
"Oslo - Blindern, NO",SN18700,03.07.1980,15.5
"Oslo - Blindern, NO",SN18700,04.07.1980,17.2
"Oslo - Blindern, NO",SN18700,05.07.1980,16.7
"Oslo - Blindern, NO",SN18700,06.07.1980,17.3
"Oslo - Blindern, NO",SN18700,07.07.1980,16.2
"Oslo - Blindern, NO",SN18700,08.07.1980,16.6
"Oslo - Blindern, NO",SN18700,09.07.1980,18.4
"Oslo - Blindern, NO",SN18700,10.07.1980,18.7
"Oslo - Blindern, NO",SN18700,11.07.1980,17.7
"Oslo - Blindern, NO",SN18700,12.07.1980,15.6
"Oslo - Blindern, NO",SN18700,13.07.1980,14.8
"Oslo - Blindern, NO",SN18700,14.07.1980,15.9
"Oslo - Blindern, NO",SN18700,15.07.1980,15.3
"Oslo - Blindern, NO",SN18700,16.07.1980,16.2
"Oslo - Blindern, NO",SN18700,17.07.1980,17.1
"Oslo - Blindern, NO",SN18700,18.07.1980,13.1
"Oslo - Blindern, NO",SN18700,19.07.1980,13.4
"Oslo - Blindern, NO",SN18700,20.07.1980,13.4
"Oslo - Blindern, NO",SN18700,21.07.1980,14.3
"Oslo - Blindern, NO",SN18700,22.07.1980,16.9
"Oslo - Blindern, NO",SN18700,23.07.1980,15.8
"Oslo - Blindern, NO",SN18700,24.07.1980,16.7
